,Pishan,Hetian,Minfeng,Mangya,Yutian,Lenghu,Tuole,Yeniugou,Zhangye,Qilian,Shandan,Yongchang,Dacaidan,Delingha,Gangcha,Menyuan,Nuomuhong,Dulan,Qiabuqia,Xining,Wudaoliang,Xinghai,Shiquanhe,Gaize,Bange,Anduo,Pulan,Shenzha,Dangxiong,Lazi,Rikeze,Nimu,Lasa,Jiangzi,Cuona,Longzi,Pali,Zaduo,Yushu,Maduo,Qingshuihe,Shiqu,Changdou,Dege,Ganzi,Seda,Daofou,Maerkang,Xinlong,Zuogong,Kangding,Deqin
1988,194.4,158.4,254.9,969.3,220.5,1218.2,1951.6,2032.3,737.9,1339.5,799,891.6,1208,852.1,1295.7,1176.7,745.9,823.8,742.1,475.5,2249.9,1002,1331.7,1734.7,1142.6,1636.2,804.8,1075.2,771.5,138.7,213.1,130.6,73.2,278,1095.9,209.1,798.3,1033.8,564,1846.7,2077.4,1206,97.2,124.9,262.8,980.2,92.2,41.4,91.1,398.7,171.6,96.2
1989,233,194.1,311.7,1247.3,273.1,1350.8,2310.2,2364,771.2,1452.1,828.6,900.8,1476.1,1114.4,1563.6,1293.9,948,1030.7,840.8,472.9,2565.8,1173.1,1634,1540.4,1395.8,1863.3,850.8,1185.9,954.3,266,301.6,252.5,163.7,375.9,1198.2,377.6,986.6,1265.8,710.9,2152.5,2438.8,1482.6,232.6,261.3,461.4,1197.9,189.6,147.4,202.4,556.8,270.8,253.2
1990,258.5,204.7,266.8,993.7,246.5,1127.2,2015.5,2158,603.4,1229.9,653.5,725.8,1226.6,809.4,1291.9,1136.4,738.2,783.5,710.1,409.9,2392.1,1030.6,1284.5,1354.5,1265.6,1741.9,623.5,1110.7,847,144.6,242.9,183,95.1,340.8,1008.1,260.5,889.7,1079.1,606.7,2130.2,2294.1,1379.2,127.8,156,283.9,1116.7,113.5,58.3,120.6,421.5,136.1,142.4
1991,350.3,255,327.7,1046,291.1,1208.9,2102.2,2138.4,661.4,1338.1,704.2,809.2,1360.7,949.9,1454.1,1384.3,815.2,911.7,864.6,488.8,2397.2,1174.5,1478.8,1458.7,1368.1,1839.8,838.9,1242.2,924.1,251.1,346.2,288.4,174.9,421.7,1125.7,342.3,1015.1,1301.3,761.4,1932.1,2262.8,1571.1,192.2,232.8,396.5,1152.3,143.6,74.8,154.1,452,162.7,183.1
1992,233.7,174.8,307.6,1100.1,264.7,1324.6,2173.4,2129.6,704.6,1439,760.1,821.2,1385.6,1070.5,1525.5,1427.8,952.6,1032.5,918.7,492.4,2544.4,1296.2,1353.7,1470.1,1379.5,1952.1,796.9,1352.3,1365.2,294.1,414.4,350.2,243.7,523.4,1180.3,474,970.8,1402.6,816.7,2262,2436.5,1700.2,292.8,346.6,578.9,1396.8,288.9,164.7,276.1,674.7,193.2,317.1
1993,310.1,243.7,410.4,959.3,356.3,1112.9,1922.9,1911.8,723.3,1208.3,758,821.2,1319.2,937.6,1440.6,1144.5,811.6,871.3,718.1,478.4,2407.4,1063.7,1235.7,1390.1,1233.4,1813.9,615.3,1138.2,827.8,134,222.4,154.1,80.6,297.2,1024.2,251.4,834.1,1151.1,608.5,2037.2,2266.1,1314,144.6,162.3,317.2,1169.5,112.8,89.1,118.9,429,214.9,187.2
1994,277,253.2,324.1,960.3,284.8,1164.2,2044.7,2007.8,638,1257.7,652.1,776,1253.5,838.3,1373.3,1337.2,742.5,825.7,723.5,423,2438.1,1072,1297.9,1387.1,1266,1772.4,639,1156.1,1106.2,213.5,275.9,193.8,83.9,348.2,1116.3,301.1,1016.7,1082.3,599,2010.7,2179.6,1411.8,111,146.8,235.8,1076,87.7,50.7,88.7,418.4,134,111.5
1995,457.9,390.1,486.3,1241.3,434.5,1512.8,2312.9,2280.5,818.7,1501.9,789.7,938.2,1589.1,1140.5,1627.2,1519,1016.4,1138,997.3,780.7,2570.2,1343.6,1537.8,1562.1,1535.1,2023.9,1065,1229.8,855.6,219.1,241.7,184.4,96.6,338.8,1270.5,319.4,1504.9,1283.4,767.7,2239.3,2443.5,1558.5,162,204,388.9,1120.1,119.8,90.5,148.7,428.9,252.1,156.3
1996,311.8,244.6,350.2,1083.9,306.2,1362.7,2148.2,2161.9,840.7,1495.4,830.8,963.1,1358.1,973.9,1471.5,1264,875.2,948.2,865.2,775.7,2351.8,1105.9,1142.4,1197.4,1155,1721.9,772.7,1057.8,726.9,153.6,231.9,167.4,80.3,321.6,1154.5,280.6,1270.5,1109.7,681.9,2085.8,2179.9,1416.3,160.1,189.1,455.3,1102.7,159.1,110.7,147.6,402.3,229.8,121.9
1997,266.8,183.3,296.5,1043.6,250,1261.8,2104.7,2127.3,743.5,1299.7,654.8,822.3,1258.6,870.6,1418.4,1273.4,796.9,876.6,803.4,637.5,2738.9,1139.3,1588.6,1840.2,1693.9,2552.2,948.3,1392.1,990.4,228.1,318,258.1,151.1,385,1237.8,380.6,1184.2,1476,815.7,2474.3,3005,1774,210,214,375.5,1213.3,170.7,92,175.3,541.6,162.1,208.9
1998,216.5,175.3,250.4,857.4,209.3,1104.6,1800.7,1788.3,596.2,1158.9,582.8,670.6,1137.5,859.9,1262.4,1091.4,733.3,784.9,675.9,574.1,2223.4,990.4,1516.6,1425.8,1282,2066.7,796,1107.3,811.7,150.3,215.4,164.2,82.2,303.7,909.5,251,841.8,1082.1,604.7,1883.4,2440.9,1629,162.7,178.1,359.2,1100.1,149.6,67.1,152.3,416.7,139.7,133.2
1999,198.8,141,243.2,850.8,216.2,1106.7,1855.1,1860.6,622.5,1186.3,597.7,752,1186.5,816.4,1246.9,1153.7,722.9,807.9,658.8,561.7,2209,963.1,1056.1,1202.6,1082.6,1661.6,409.4,1038,780.3,145.9,263.4,185.3,102.4,290.8,806.7,231.3,791.1,915.4,509.6,1808.5,2085.9,1260,143.8,146.5,295.3,994.9,127.4,90.8,128.4,363,140.5,102.7
2000,226.1,186.6,293.1,1089.8,243.7,1338.3,2161.6,2170.9,730.1,1375.9,693.8,878.5,1436.5,1074.9,1532.3,1278.7,875.2,1023.7,790.8,688.1,2519.8,1198.6,1284,1745.1,1366.3,1900.3,726.7,1278.6,829,137.2,245.5,187.4,75.1,314.3,1060.4,338.4,948.3,1182.1,752.6,2079.1,2334.4,1659.7,196.9,188.9,359.1,1200.9,154.3,69.7,147,510.6,199.3,185.3
2001,279,214.1,292.4,930,265.7,1172.4,1878.2,1855.1,730.8,1230.8,688.5,769.7,1198.1,831.6,1291.6,1069.1,697.7,834.7,656.6,565.3,2330.7,1027,1109.3,1278.4,1137.2,1647.6,627.9,1021.2,695.3,87.7,180.5,130.5,45.5,215,899.3,213.5,793.2,967.6,592.8,1984.6,2263.8,1409.2,122.1,143.6,260.3,1051,119.4,76.2,107.1,351.5,121.1,97.6
2002,419.1,351.4,377.6,891.3,366.3,1072.7,1857,1843.7,596,1204.8,573.3,664.7,1166.3,806.7,1421.2,1253.6,703.5,801.1,728.3,613,2297.6,1060.5,1296.7,1522.5,1291.7,1703.8,752.8,1121.9,799.9,144.7,231.9,163.9,70.8,267.8,946.9,244.4,850.3,1036.8,571.1,1902.9,2170.3,1326.1,156.9,166.2,339.1,1085.3,130.5,71.9,140.8,380.6,117.9,112.6
2003,254.5,160.9,232.1,976.1,201.8,1118.8,1900.5,2173.6,681.9,1283.3,654.3,779.8,1110.1,754.8,1251.9,1096.1,729.1,758.3,692.4,567.5,2143.1,1066.9,1266.8,1183.2,1086.2,1607.3,607.9,1076.1,758.3,156.6,252,179.5,65.7,296.9,961.5,245.3,910.7,914.4,472.1,1736.9,1944.1,1140.1,100.6,107.6,211.4,982,74.2,49.6,84.5,368.7,120.1,101
2004,232.3,177.7,248.1,866,213,1105.1,1972,1972.2,668.8,1230.4,698.5,774.6,1130.6,834.1,1351.5,1265.6,731.3,839,805.9,624.7,2285.2,1178.8,1123.9,1190.8,1247.5,1752,469.3,1169.7,986.2,162.6,251.4,200.1,71.4,348.2,1008.9,300.7,851.9,1033.4,506.9,1966.1,2156,1325.5,106,141,284.2,1130.7,140.6,55.9,105.3,432.7,181.7,154.1
2005,367.5,247.4,377.6,923.5,344.4,1223.5,1972.5,1906.9,790.1,1211.4,812.4,928.9,1144.6,821.5,1305.6,1072,742.4,947.6,663.9,698.5,2248.4,1077.7,1389.5,1238.9,1081.5,1561.6,660.2,1061.1,709.9,145.7,211.9,157.6,55.9,232,861.5,204.6,795.4,888.2,458.3,1874.7,2368.7,1249,90,120.9,249.4,1077.6,90.8,56.6,78.4,265.7,194.4,105.9
2006,482.3,352.2,437.4,807.7,408.2,1030.3,1926.1,1790.8,601.9,1112.4,653.4,713.4,1027.7,623.6,1225.1,1105.6,557.6,706.6,554.8,554.2,2051.9,970.3,986.5,933.5,905.5,1462.9,334.4,872.5,598.3,37.9,123,84.9,22,135.8,680.1,151.5,629.5,790.2,358.1,1752,1863.3,1102.7,66.2,93,189.6,923.5,66.3,38.2,62.4,212.1,133.6,61.1
2007,206.3,128.1,227,960.1,203.2,1141.3,1945,1831.7,546.1,1132.7,562.9,659.1,1121.9,755.7,1312.4,1203.4,764.6,889.8,659.1,568.4,2292.6,1146.5,1108,1104.9,1087,1640.4,497.5,975,726.2,96.1,181,137,25.3,269.1,877.7,271.4,790.7,926.6,501.1,1866.6,2043.6,1259.9,101.5,142.4,277.1,1040.2,108.8,64.1,90.1,384.9,124,126
2008,591,492.7,583.7,1112.2,550.6,1418.9,2067.4,2082.7,911.5,1327.5,961.7,974.1,1317,1001.3,1410.7,1248.3,839.6,974.2,767.8,752.1,2375.3,1127.8,1163.1,1162.8,1133.2,1625.9,505.6,1030.4,667,109.9,196.1,144.5,43.8,283.8,1227,337.2,831.3,1085.6,506.1,1927.7,2136.3,1516.1,104.4,108,249.6,1056.6,117.6,53,76.8,411,275.2,122.4
2009,170.5,109.8,222.2,926.8,170,1167.2,1791.5,1812.6,620.7,1166,675.3,726.8,1100.8,839.9,1258.5,1158.6,725.2,872,591.5,588.8,2083.2,946.1,1082,1004.5,926.1,1410.8,555.8,913.7,620,81.1,167.5,139.8,48.6,228,765.8,203,665.6,747.9,379.7,1817.3,1814.2,1051.9,108.9,161.7,422.9,1066.9,122,70,89.4,368.7,124.8,102.9
2010,237.2,158.8,233.2,855,203.3,1132.5,2111.3,1874.3,584.4,1188.1,656.9,676.1,1037.7,838.1,1222.1,1141.1,726.3,860.4,595.7,570.6,2128.4,1058.5,1260.3,1131.1,1042.4,1515.5,586.4,994.2,723.7,125.1,263.1,187.5,61.7,272,741.9,244.6,685.7,869.4,495.4,1801.7,2003.6,1168.1,108.3,165.3,338.6,989.6,147,78.5,111.4,403.9,88,64.6
