,Pishan,Hetian,Minfeng,Mangya,Yutian,Lenghu,Tuole,Yeniugou,Zhangye,Qilian,Shandan,Yongchang,Dacaidan,Delingha,Gangcha,Menyuan,Nuomuhong,Dulan,Qiabuqia,Xining,Wudaoliang,Xinghai,Shiquanhe,Gaize,Bange,Anduo,Pulan,Shenzha,Dangxiong,Lazi,Rikeze,Nimu,Lasa,Jiangzi,Cuona,Longzi,Pali,Zaduo,Yushu,Maduo,Qingshuihe,Shiqu,Changdou,Dege,Ganzi,Seda,Daofou,Maerkang,Xinlong,Zuogong,Kangding,Deqin
1975,4698.9,4816.9,4470.1,1795.1,4616.5,2279,1147.3,1001.7,3401.2,1709.9,3173.3,2660.2,1994.7,2391,1322.5,1664.1,2542.2,2061.7,2348.1,2858.8,520.8,1655.5,1490.5,1472,1114.7,950.1,1871.6,1307.2,1629,NA,2724.7,2878.7,3128.3,2259.8,1017.4,2306.9,1068.3,1414.5,1914.2,843.5,696.8,1032.9,3127.5,2746.2,2567.4,1359.4,3225.7,3364.7,3039.2,NA,2820.3,1975.9
1976,4623.2,4731.4,4441,1733.4,4593.4,2119,1004.6,885.7,3219.4,1596.2,2970,2548.1,1868.3,2240.5,1181.4,1486.2,2444.7,1903.3,2123.2,2692,337.2,1453,1446,1284.3,869.3,714.6,1935.2,1081.9,1416.4,NA,2587.3,2781.7,3019.9,2171.1,886.7,2213.5,946.9,1144.9,1684.5,638.8,480.3,816.1,2902.8,2480.6,2300.1,1111.6,2932.4,3111.6,2773.8,NA,2615.6,1882.8
1977,4929.4,5033.8,4596.5,1826.9,4768.6,2295.7,1092.6,962.7,3371.4,1661,3095.1,2708.6,1979.9,2334.4,1299.8,1529.7,2528.8,2004,2327.9,2783.7,480.8,1617,1536.5,1255.2,869.8,791.3,1968.7,1055.1,1372,1428.6,2480.6,2571.1,2823.6,2017.2,927.5,2169,975.2,1273.8,1711.5,756,573.3,863,2807.1,2419.6,2209.5,1116.2,2858.5,2997.1,2696.5,NA,2690.6,1821.8
1978,4963.4,5083.4,4749.4,2027.8,4902.1,2426.9,1235.8,1035.1,3529,1819,3301,2829.1,2106,2534.1,1381.4,1611.6,2661.2,2169,2360.6,2865.7,529.3,1719.5,1669.2,1422.2,962.2,847.4,2097.9,1183.6,1481.1,2490.1,2496.1,2612.1,2847.8,2046.9,1013.9,2158.4,1049.9,1321,1787.6,766.4,571.1,933,2769,2544.9,2284.1,1220.1,2925.6,3200.1,2795.1,1913.4,2833.5,1966.1
1979,4792.8,4860,4539.5,1793.5,4656.5,2242.3,1117.4,1007.9,3262.6,1706.6,3009.6,2622.9,1998.2,2436.4,1374.6,1644.8,2568.8,2063.4,2391.3,2808.6,446.6,1755.8,1407.7,1372.7,1020.4,873.2,1915.2,1212.5,1556.7,2682.5,2688.8,2713.2,3028.6,2224.8,1017.1,2284.5,1057,1390.2,1862.4,733.5,606.9,947.5,2948.3,2617.1,2372.9,1292.2,3021.2,3270.9,2875.6,2102.7,2847.5,2064.3
1980,5009.1,5094.2,4669,1914.2,4803.8,2347.7,1102.4,933.1,3397.5,1680.3,3136.4,2726,2023.3,2418.5,1302.8,1514,2611.6,2069.3,2347.5,2895.3,452.6,1693,1629.5,1392.8,915.9,792.6,1980.3,1099.6,1458,2525.7,2517.3,2646.2,2872.4,2123.1,992.4,2269.4,1062.9,1301.3,1774.2,703.7,569.5,929.1,2798.3,2524.2,2355,1228.2,2940.8,3202.2,2772.8,2002.8,2832.4,1944.5
1981,4690.2,4808.6,4494.2,1935.8,4568.7,2432.8,1278.3,1136.1,3450.2,1819.1,3189.3,2772,2166.3,2511.3,1448.5,1723,2724.8,2213.5,2438.4,2893.8,614.3,1838.2,1674.8,1536.1,1075.9,907.5,2020.6,1278.8,1533,2592.8,2635.9,2721.4,2945.8,2184.5,1001.9,2266.9,1068.9,1509.1,1977,922,798.5,1142.6,3049,2692.7,2509,1384.2,3079.4,3333.5,2951,2191.9,2801.7,2318.2
1982,4590.3,4714.7,4455,1756.1,4478.5,2322.3,1058.6,954.7,3411,1653.4,3185.9,2756.8,2016.4,2342.5,1223.9,1573.3,2569.7,2031.1,2245.9,2850.5,462,1575.1,1428.9,1351.9,944.4,807.2,1766.8,1172.9,1472,2642.1,2640.6,2703.2,2976.5,2146.9,921.5,2248.5,995.1,1310.7,1815.5,716.4,608.1,941.2,2869.4,2576.8,2358.2,1205.7,2946.9,3160.9,2781,2040.5,2662.6,2183.6
1983,4637,4796.9,4571.2,1740.7,4541.7,2177.2,985.4,914.9,3262,1568.4,2978.2,2597.2,1874.2,2202.7,1250.9,1502,2448.7,1903.8,2187.1,2755.6,444,1578,1502,1328.8,1044.3,818.4,1755.9,1214.3,1538.4,2625,2669.8,2737.5,2979.6,2132.4,2026.2,2301.4,1073.6,1287.6,1793.3,683.8,590.7,980.6,2997.3,2572.9,2439.3,1351.5,3036.7,3154.6,2927.9,2148.3,2781.5,2209.4
1984,4668.3,4845.5,4700.2,1854.9,4550.1,2200.3,1037.9,897.6,3313.1,1603.9,3108.7,2642.8,1930.2,2352.7,1246.2,1492.4,2510.9,2021.3,2282.1,2792.6,417.3,1606.7,1694.8,1465.8,1085.7,836,2125.9,1247.2,1578.9,2686.4,2726.2,2819.9,3104.6,2303,1038,2316.1,1085.4,1402,1974.4,651.3,530.4,954.7,3177.3,2895.6,2630,1290.8,3222.9,3315.7,3166,2112,2824,2171
1985,4771.4,4920.8,4657.9,1894.7,4583.2,2347.1,1120,986.3,3407.8,1694,3244.3,2696.8,2043.5,2429.9,1308.1,1590.4,2597.5,2100.7,2274.2,2769.5,471.2,1657.9,1660.5,1450.7,1086.6,877.3,2029.3,1238.4,1623.5,2718.6,2850.3,2848.5,3107.9,2257.7,1015.3,2342.5,1062.8,1358.4,1882.3,781.1,650.6,1042.1,2917.5,2594.6,2365.3,1336.8,3022.3,3115,2840.5,2122.4,2725,2142.8
1986,4666.2,4792.7,4579.2,1840,4411,2322.1,1125.1,945.7,3400.7,1658.4,3181.9,2673.6,1963.7,2309.8,1237.2,1540.7,2491.2,1974.7,2229.6,2763.4,454,1532.6,1482.1,1324.3,1055.5,869,1789.7,1174.8,1499.4,2476.5,2526.2,2595.1,2996.4,2002.6,890.3,2152.2,925.5,1277.6,1832.2,727,578.4,958.9,2902.9,2632.3,2375.2,1230,3013,3163.7,2868.6,1969.3,2676.5,2076.3
